 	Z-Step	Raw Width minus Heigh	Calibration Width minus Height
 	-705	-4.153	-4.037
 	-695	-4.142	-4.037
 	-685	-4.171	-4.035
 	-675	-4.143	-4.031
 	-665	-4.086	-4.025
 	-655	-3.969	-4.017
 	-645	-3.898	-4.008
 	-635	-3.872	-3.996
 	-625	-3.903	-3.983
 	-615	-3.914	-3.968
 	-605	-3.890	-3.952
 	-595	-3.858	-3.934
 	-585	-3.800	-3.914
 	-575	-3.770	-3.892
 	-565	-3.727	-3.869
 	-555	-3.720	-3.845
 	-545	-3.741	-3.818
 	-535	-3.749	-3.791
 	-525	-3.778	-3.761
 	-515	-3.706	-3.731
 	-505	-3.652	-3.698
 	-495	-3.571	-3.665
 	-485	-3.542	-3.629
 	-475	-3.551	-3.593
 	-465	-3.566	-3.555
 	-455	-3.552	-3.516
 	-445	-3.544	-3.475
 	-435	-3.473	-3.433
 	-425	-3.452	-3.390
 	-415	-3.406	-3.346
 	-405	-3.381	-3.300
 	-395	-3.321	-3.253
 	-385	-3.256	-3.205
 	-375	-3.218	-3.156
 	-365	-3.192	-3.106
 	-355	-3.157	-3.055
 	-345	-3.100	-3.002
 	-335	-3.016	-2.949
 	-325	-2.949	-2.894
 	-315	-2.859	-2.839
 	-305	-2.778	-2.782
 	-295	-2.695	-2.725
 	-285	-2.658	-2.666
 	-275	-2.650	-2.607
 	-265	-2.602	-2.547
 	-255	-2.556	-2.486
 	-245	-2.472	-2.424
 	-235	-2.448	-2.361
 	-225	-2.365	-2.297
 	-215	-2.307	-2.233
 	-205	-2.220	-2.168
 	-195	-2.161	-2.102
 	-185	-2.104	-2.036
 	-175	-2.040	-1.969
 	-165	-1.995	-1.901
 	-155	-1.945	-1.832
 	-145	-1.899	-1.763
 	-135	-1.806	-1.694
 	-125	-1.728	-1.624
 	-115	-1.610	-1.553
 	-105	-1.517	-1.482
 	-95	-1.415	-1.410
 	-85	-1.333	-1.338
 	-75	-1.242	-1.266
 	-65	-1.130	-1.193
 	-55	-1.025	-1.119
 	-45	-0.853	-1.046
 	-35	-0.739	-0.972
 	-25	-0.618	-0.897
 	-15	-0.570	-0.823
 	-5	-0.511	-0.748
 	5	-0.424	-0.673
 	15	-0.351	-0.598
 	25	-0.286	-0.522
 	35	-0.236	-0.447
 	45	-0.190	-0.371
 	55	-0.119	-0.295
 	65	-0.052	-0.219
 	75	-0.012	-0.143
 	85	0.084	-0.067
 	95	0.137	0.009
 	105	0.181	0.086
 	115	0.172	0.162
 	125	0.197	0.238
 	135	0.227	0.314
 	145	0.288	0.389
 	155	0.358	0.465
 	165	0.477	0.541
 	175	0.582	0.616
 	185	0.659	0.691
 	195	0.743	0.766
 	205	0.827	0.841
 	215	0.882	0.916
 	225	0.908	0.990
 	235	0.952	1.064
 	245	1.012	1.137
 	255	1.088	1.210
 	265	1.124	1.283
 	275	1.192	1.355
 	285	1.219	1.427
 	295	1.284	1.499
 	305	1.325	1.570
 	315	1.420	1.640
 	325	1.518	1.710
 	335	1.649	1.779
 	345	1.699	1.848
 	355	1.705	1.916
 	365	1.746	1.984
 	375	1.867	2.051
 	385	2.030	2.117
 	395	2.152	2.182
 	405	2.240	2.247
 	415	2.347	2.311
 	425	2.429	2.374
 	435	2.554	2.437
 	445	2.605	2.498
 	455	2.702	2.559
 	465	2.692	2.619
 	475	2.728	2.678
 	485	2.743	2.736
 	495	2.857	2.793
 	505	3.012	2.849
 	515	3.064	2.904
 	525	3.103	2.958
 	535	3.144	3.011
 	545	3.214	3.063
 	555	3.227	3.114
 	565	3.232	3.164
 	575	3.293	3.213
 	585	3.428	3.260
 	595	3.481	3.306
 	605	3.429	3.352
 	615	3.400	3.395
 	625	3.431	3.438
 	635	3.505	3.479
 	645	3.628	3.519
 	655	3.610	3.558
 	665	3.650	3.595
 	675	3.555	3.631
 	685	3.507	3.666
 	695	3.464	3.699
 	705	3.429	3.731
