 ,Intensity,X (px),Y (px),X (nm),Y (nm),Z (nm),Left-Width (px),Right-Width (px),Up-Height (px),Down-Height (px),X Symmetry (%),Y Symmetry (%),Width minus Height (px),Frame Number
1,281,53.870,27.252,5386.971,2725.195,90.679,1.746,1.196,0.907,1.623,0.813,0.717,0.412,6
2,1040,20.296,37.444,2029.625,3744.376,6.097,0.865,1.108,0.961,1.015,0.877,0.972,-0.003,10
3,982,54.256,27.441,5425.580,2744.110,34.886,0.879,1.159,0.902,0.957,0.863,0.970,0.177,10
4,487,20.451,37.241,2045.146,3724.121,28.727,1.081,1.274,0.838,1.367,0.918,0.760,0.150,9
5,888,54.232,27.353,5423.223,2735.279,20.734,0.839,1.301,0.905,1.131,0.784,0.889,0.104,11
6,526,54.198,27.324,5419.845,2732.396,76.003,0.896,1.270,0.870,0.986,0.827,0.937,0.310,5
7,142,50.737,39.839,5073.662,3983.944,-46.175,1.675,0.942,1.905,1.029,0.720,0.701,-0.317,5
8,502,54.339,27.498,5433.919,2749.795,-84.228,0.857,0.999,1.222,1.218,0.923,0.999,-0.584,2
9,928,54.194,27.432,5419.402,2743.232,25.462,0.876,1.386,1.015,1.111,0.775,0.955,0.136,3
10,856,54.287,27.422,5428.726,2742.156,58.099,0.868,1.327,0.878,1.086,0.791,0.894,0.231,4
11,987,54.206,27.397,5420.609,2739.672,30.571,0.816,1.155,0.783,1.030,0.828,0.864,0.158,12
12,914,20.715,21.497,2071.504,2149.675,82.035,1.331,1.003,0.978,1.009,0.859,0.985,0.348,12
13,433,19.027,39.191,1902.689,3919.142,38.269,0.798,1.596,0.912,1.296,0.667,0.826,0.186,40
14,548,15.673,45.580,1567.277,4558.028,-68.550,1.149,0.920,1.348,1.212,0.889,0.947,-0.492,18
15,498,30.370,23.233,3036.999,2323.295,-49.504,0.906,1.096,0.961,1.386,0.905,0.819,-0.345,53
16,484,15.651,45.604,1565.141,4560.390,-1.352,1.196,1.038,1.205,1.080,0.929,0.945,-0.051,21
17,228,30.252,23.201,3025.164,2320.128,-36.075,1.043,1.439,1.061,1.660,0.841,0.780,-0.238,55
18,1107,41.187,24.603,4118.746,2460.290,110.248,0.897,1.550,1.000,0.866,0.733,0.928,0.581,20
19,915,15.618,45.350,1561.793,4534.977,-7.852,1.085,0.937,0.979,1.135,0.927,0.926,-0.092,20
20,929,47.040,24.454,4703.981,2445.350,96.289,0.874,1.417,0.847,0.985,0.763,0.924,0.459,20
21,1103,30.544,23.243,3054.354,2324.268,-33.265,1.063,0.895,0.887,1.293,0.914,0.814,-0.222,54
22,385,40.655,24.635,4065.487,2463.474,5.203,1.383,0.936,1.146,1.182,0.807,0.985,-0.009,22
23,1046,41.240,24.836,4124.011,2483.646,-43.643,0.747,1.200,1.314,0.929,0.767,0.829,-0.296,19
24,957,15.598,45.407,1559.849,4540.717,-16.382,1.187,0.903,1.077,1.159,0.864,0.964,-0.146,19
25,1030,45.226,24.261,4522.569,2426.127,8.791,0.840,1.275,0.907,1.190,0.794,0.865,0.018,29
26,1053,45.416,24.167,4541.645,2416.677,-7.983,0.915,1.107,0.826,1.289,0.905,0.781,-0.093,30
27,983,45.259,24.156,4525.931,2415.594,11.461,0.899,1.204,0.798,1.267,0.855,0.773,0.038,31
28,501,20.801,37.009,2080.086,3700.861,12.599,1.266,0.981,0.681,1.520,0.873,0.619,0.046,31
29,772,18.716,20.797,1871.564,2079.731,86.344,1.292,1.070,1.199,0.785,0.906,0.791,0.377,71
30,463,48.657,25.464,4865.659,2546.448,-123.330,1.014,0.807,1.389,1.441,0.886,0.982,-1.009,71
31,733,57.848,30.144,5784.753,3014.360,-6.990,1.315,0.784,0.787,1.398,0.747,0.721,-0.087,80
32,692,30.483,23.389,3048.275,2338.942,-40.880,1.075,1.082,1.041,1.391,0.997,0.856,-0.275,66
33,501,16.144,43.924,1614.388,4392.397,15.836,0.846,1.355,1.325,0.806,0.768,0.757,0.070,66
